Indicator Name,Indicator Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net migration,SM.POP.NETM,Iraq,IRQ,87624,14451,133839,-27236,69948,51019,-1204180,-836565,406488,120311,107297,281089,767449,491588,10514,-19490,-75580,-9899,6660,-29880,71539,-60097,-6000,-6000
Net migration,SM.POP.NETM,Iceland,ISL,1874,856,-346,-223,611,3918,5295,5247,1122,-4793,-2077,-1427,-304,1648,1116,1477,4113,8316,6611,5152,2573,622,380,380
Net migration,SM.POP.NETM,Israel,ISR,27257,23407,20672,17619,15542,13756,12464,10792,9587,7978,9580,9605,9909,10650,10836,12049,13263,14518,15615,16132,16569,16856,9999,9999
Net migration,SM.POP.NETM,Italy,ITA,49166,47084,222527,478254,417189,250910,210398,485871,413349,280126,270043,195257,249033,154366,50102,34031,49591,70475,75863,21615,28021,28021,58496,58496
Net migration,SM.POP.NETM,Jamaica,JAM,-18500,-18461,-18427,-18382,-18261,-18072,-17846,-17588,-17188,-15946,-14244,-12578,-11494,-11329,-11329,-11329,-11329,-11329,-11329,-11329,0,-5664,-10999,-10999
Net migration,SM.POP.NETM,Jordan,JOR,-26074,-22895,-18467,-11700,7979,3500,502609,-18108,767,-49687,4872,7057,-146181,776237,803008,490844,49192,41956,33554,28963,18092,14374,-141192,-157392
Net migration,SM.POP.NETM,Japan,JPN,84477,93257,102260,119257,135835,153248,160536,163068,158396,159210,148460,139793,137344,134721,139401,150215,156993,164070,177470,183953,87584,87584,99994,99994
Net migration,SM.POP.NETM,Kazakhstan,KAZ,-43423,-28743,-13939,-3565,9413,22958,34582,13172,2198,8215,23234,14829,9046,8121,-6299,-12253,-7445,-15903,-31760,-37080,-12432,-18917,0,0
Net migration,SM.POP.NETM,Kenya,KEN,5407,55052,10426,24180,31530,5496,15763,-11496,29607,7098,-21076,-44800,-42929,-57630,-72415,-95981,-29727,-68704,-115434,-61946,-17106,-52549,-10000,-10000
Net migration,SM.POP.NETM,Kyrgyz Republic,KGZ,-21139,-24266,-25320,-15369,-17310,-27130,-30824,-50440,-37801,-29651,-52547,-46841,-41524,-37188,-32933,-29468,-25279,-27796,-30717,-34270,-14307,-16510,-9999,-9999
Net migration,SM.POP.NETM,Cambodia,KHM,-4248,-4005,-3837,-7286,-5883,-11435,-10451,-9890,-34409,-48418,-43068,-42942,-43999,-46754,-48942,-52272,-40577,-45720,-51685,-55607,-22308,-24262,-29998,-29998
Net migration,SM.POP.NETM,Kiribati,KIR,-513,-258,-131,-130,-139,-226,-335,-399,-411,-451,-619,-850,-949,-955,-977,-853,-838,-811,-776,-691,-296,-296,-400,-400
Net migration,SM.POP.NETM,St. Kitts and Nevis,KNA,248,-5,-195,-214,-228,-222,-205,-192,-174,-171,-160,0,-191,-191,-191,-191,-191,-191,-191,-191,-191,-90,20,20
Net migration,SM.POP.NETM,"Korea, Rep.",KOR,-72624,-26859,-13515,-22385,-33556,-36504,-28341,-39728,-20513,4715,56092,259829,275552,288205,296280,266322,102075,112523,118642,110799,0,43440,29998,29998
Net migration,SM.POP.NETM,Kuwait,KWT,19193,17088,14550,11232,7427,68878,96486,94844,93141,90945,94736,191544,191164,190228,-84910,259114,-90785,140685,144967,9088,-254177,-36843,11999,11999
Net migration,SM.POP.NETM,Lao PDR,LAO,-34009,-33600,-33635,-36615,-40174,-24171,-24639,-26808,-27282,-27999,-27446,-27661,-26451,-25256,-25666,-12995,-11401,-10400,-10303,-10303,-10303,-10303,-9999,-9999
Net migration,SM.POP.NETM,Lebanon,LBN,455,-1094,-21543,1674,4974,1224,25126,27944,430,-2700,-40915,2246,124428,733504,301113,-223722,-228173,-230947,-233520,-237572,-115146,-115122,-160237,-177331
Net migration,SM.POP.NETM,Liberia,LBR,-2060,7142,-23110,-103564,-1001,101019,77946,65306,17405,1193,2848,91983,-25708,-21995,-26692,-15195,-26822,-24830,-23226,-19697,-10119,-11862,-5000,-5000
Net migration,SM.POP.NETM,Libya,LBY,31970,31097,35582,39618,42112,41035,3351,12641,15257,11670,9613,-862825,5211,25760,-1712,-7660,-5081,9208,5835,-1352,-696,-696,-2000,-2000
Net migration,SM.POP.NETM,St. Lucia,LCA,-773,-556,-240,-182,-118,-88,-78,-27,59,200,438,181,11,0,0,0,0,0,0,0,0,0,0,0
Net migration,SM.POP.NETM,Liechtenstein,LIE,208,110,142,153,114,141,126,124,94,120,86,167,187,195,173,141,175,172,193,178,189,231,150,150
Net migration,SM.POP.NETM,Sri Lanka,LKA,-91900,-15604,-20309,-20932,-1028,-36955,-23795,-19572,-11557,5484,-26603,-13277,-97095,-97189,-97807,-98598,-98896,-98598,-97100,-94897,-92400,-92400,-77495,-77495
Net migration,SM.POP.NETM,Lesotho,LSO,-23572,-24606,-25582,-26420,-27129,-22692,-11085,-9748,-3102,-4626,-6204,-6852,-6827,-6452,-5466,-4129,-3861,-3327,-3234,-2989,-1490,-1490,-4000,-4000
Net migration,SM.POP.NETM,Lithuania,LTU,-31240,-33177,-33905,-34848,-35427,-35453,-34885,-33813,-32451,-30706,-28864,-26445,-24664,-22781,-20883,-18912,-17334,-15937,-14451,-13398,-12625,-11853,-15192,-13128
Net migration,SM.POP.NETM,Luxembourg,LUX,4407,3339,2684,5400,4482,6190,5568,6185,7960,6745,7793,10787,10251,10553,11181,11373,12535,9563,10096,10365,6952,6949,5222,4883
Net migration,SM.POP.NETM,Latvia,LVA,-20514,-19909,-19291,-18671,-18142,-17620,-17116,-16590,-15933,-15152,-14321,-13447,-12981,-12505,-11830,-11163,-10340,-9498,-8632,-7903,-7381,-6815,-8466,-7630
Net migration,SM.POP.NETM,"Macao SAR, China",MAC,4134,6581,11276,11452,11508,11407,11402,11333,11325,11257,11168,9169,6156,6050,6034,6465,6962,7727,8219,8578,8441,4004,5000,5000
Net migration,SM.POP.NETM,St. Martin (French part),MAF,159,158,161,158,158,150,128,98,52,-9,-447,-857,-962,-1013,-865,-662,-734,-816,-1356,-949,-949,-948,0,0
Net migration,SM.POP.NETM,Morocco,MAR,-90376,-84706,-91645,-108908,-66711,-58941,-72241,-73718,-78864,-82207,-70490,-67369,-65136,-67026,-72062,-81202,-57256,-71807,-89007,-91959,-33807,-46242,-39998,-39998
Net migration,SM.POP.NETM,Monaco,MCO,16,-65,-61,-73,-106,-137,-180,-229,318,795,823,858,955,960,988,1019,416,416,416,416,206,206,200,200
Net migration,SM.POP.NETM,Moldova,MDA,-44421,-46128,-46960,-49890,-40505,-51269,-68092,-69289,-70166,-70926,-86459,-88796,-91035,-90637,-67173,-59404,-51633,-43868,-36088,-28328,-14278,-14278,462866,-125204
Net migration,SM.POP.NETM,Madagascar,MDG,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,-1487,-742,-742,-1500,-1500
Net migration,SM.POP.NETM,Maldives,MDV,133,547,542,439,402,195,4945,6106,5931,5992,6244,6504,6660,6794,12535,12526,12191,11665,10578,6690,1134,1189,-8011,-8652
Net migration,SM.POP.NETM,Mexico,MEX,-356430,-348349,-324106,-332396,-270797,-318048,-312270,-309663,-321847,-289132,-41156,4184,-48160,-101719,-100413,-82173,33094,-12438,-99430,-47764,-9949,-52649,-51399,-50239
Net migration,SM.POP.NETM,Marshall Islands,MHL,-1323,-1442,-1532,-1595,-1627,-1637,-1647,-1662,-1641,-1544,-1415,-1901,-1901,-1901,-1901,-1901,-1901,-1901,-1901,-1901,-1901,-1901,0,0
Net migration,SM.POP.NETM,North Macedonia,MKD,5516,7328,-2858,-2880,-2638,-2250,-1858,-1558,-1454,-1478,-1578,-1690,-1758,-1737,-1597,-1378,-1164,-1018,-1000,-987,-486,-486,-1000,-1000
Net migration,SM.POP.NETM,Mali,MLI,-17423,-12530,-8926,-11780,-10805,-17436,-18275,-19966,-24538,-34428,-34523,-43216,-140747,-41013,-50149,-48947,-30294,-33995,-40761,-44428,-14978,-22236,-39998,-39998
Net migration,SM.POP.NETM,Malta,MLT,1799,1687,1507,1238,872,456,183,350,918,1774,3049,4806,6167,7348,8474,9443,10239,10836,11180,11247,10854,10408,850,850
